Material Name,Fit Type,Low Temp,High Temp,Perc Err,a,b,c,d,e,f,g,h,i,A,B,C,D,E,F,erf param
NbTi,lowTextrapolate,0.010,2.000,??,4.00000e+00,1.00000e-02,2.00000e+00,2.70000e-02,1.00000e-02,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Nichrome,polylog,4.000,300.000,??,-1.50540e+00,1.40318e+00,1.71974e-01,-1.29564e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Nickel_Steel_Fe_2.25_Ni,polylog,4.000,300.000,2.0,-3.57850e+00,2.08040e+01,-5.58260e+01,8.78120e+01,-8.35016e+01,4.90800e+01,-1.74348e+01,3.42770e+00,-2.86220e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Nickel_Steel_Fe_3.25_Ni,polylog,4.000,300.000,2.0,8.94810e-01,-8.19980e+00,2.20960e+01,-2.76450e+01,1.97524e+01,-8.11130e+00,1.77866e+00,-1.61720e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Nickel_Steel_Fe_5.0_Ni,polylog,4.000,300.000,2.0,-5.72450e-01,-3.35930e-01,3.93790e+00,-5.45890e+00,4.23370e+00,-1.86530e+00,4.32230e-01,-4.12070e-02,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Nickel_Steel_Fe_9.0_Ni,polylog,4.000,300.000,2.0,-7.12785e-02,-3.48735e+00,1.06547e+01,-1.29153e+01,8.89066e+00,-3.51482e+00,7.43643e-01,-6.57884e-02,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Nylon,polylog,4.000,300.000,2.0,-2.61350e+00,2.32390e+00,-4.75860e+00,7.16020e+00,-4.91550e+00,1.63240e+00,-2.50700e-01,1.31000e-02,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Phosbronze,lowTextrapolate,0.010,4.000,??,4.00000e+00,1.00000e-02,1.00000e+00,3.60000e-01,1.00000e-02,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Phosbronze2,lowTextrapolate,0.010,4.000,??,4.00000e+00,1.00000e-02,1.20000e+00,1.40000e-01,1.00000e-02,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Phosbronze3,lowTextrapolate,0.010,300.000,0.000,3.00000e+00,1.00000e-02,1.00000e+00,3.60000e-01,1.00000e-02,0.00e+00,0.00e+00,0.00e+00,0.00e+00,-6.56571e-01,1.41239e+00,1.55107e-01,-2.86123e-01,5.93604e-02,0.00e+00,4.00000e+00
Phosphorbronze,polylog,1.000,300.000,??,-6.56571e-01,1.41239e+00,1.55107e-01,-2.86123e-01,5.93604e-02,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Platinum,polylog,3.000,298.000,3.0,-7.33450e+00,8.08550e+01,-2.68441e+02,4.81629e+02,-5.03890e+02,3.14813e+02,-1.15699e+02,2.30957e+01,-1.93362e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Polystyrene_1.99_lbft3_Freon,polylog,90.000,300.000,2.0,-1.55750e+03,3.98470e+03,-3.94024e+03,1.64967e+03,1.28010e+01,-2.94262e+02,1.19590e+02,-2.06301e+01,1.36067e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Polystyrene_2.0_lbft3,polylog,33.000,300.000,2.0,-1.14545e+03,4.08602e+03,-6.23429e+03,5.26011e+03,-2.64991e+03,7.97037e+02,-1.32524e+02,9.39680e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Polystyrene_3.12_lbft3,polylog,7.000,300.000,2.0,0.00e+00,-1.41280e-01,1.41740e+00,-5.82100e+00,1.27220e+01,-1.59690e+01,1.16430e+01,-4.64490e+00,-1.51940e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Polystyrene_6.24_lbft3,polylog,4.000,300.000,3.0,7.39582e+00,-5.96737e+01,1.60580e+02,-2.40330e+02,2.18817e+02,-1.24155e+02,4.29088e+01,-8.26683e+00,6.80820e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Polyurethane_1.99_lbft3_Freon,polylog,76.000,300.000,2.0,-3.21868e+03,9.20161e+03,-1.09567e+04,6.95010e+03,-2.47694e+03,4.70284e+02,-3.71669e+01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Polyurethane_2.0_lbft3_CO2,polylog,100.000,300.000,1.0,3.78843e+03,-7.64266e+03,4.59245e+03,7.78842e+02,-2.21443e+03,1.09029e+03,-2.35635e+02,1.96609e+01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Polyurethane_3.06_lbft3_He,polylog,30.000,300.000,1.0,-3.38980e+01,1.17810e+02,-1.78376e+02,1.42038e+02,-6.30340e+01,1.49580e+01,-1.54680e+00,2.06250e-02,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Polyurethane_4.00_lbft3_Freon,polylog,88.000,300.000,2.0,7.89790e+02,-2.34794e+03,3.02461e+03,-2.20676e+03,9.89238e+02,-2.73180e+02,4.30650e+01,-2.98630e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
PVC_1.25_lbft3_air,polylog,100.000,300.000,1.5,1.13146e+04,-3.08243e+04,3.49642e+04,-2.11414e+04,7.18743e+03,-1.30271e+03,9.83525e+01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
PVC_3.5_lbft3_CO2,polylog,125.000,300.000,2.0,-4.12351e+03,9.69059e+03,-7.92009e+03,1.57290e+03,1.45999e+03,-1.02833e+03,2.55773e+02,-2.33193e+01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Stainless_Steel_304,polylog,4.000,300.000,2.0,-1.40870e+00,1.39820e+00,2.54300e-01,-6.26000e-01,2.33400e-01,4.25600e-01,-4.65800e-01,1.65000e-01,-1.99000e-02,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Stainless_Steel_304L,polylog,4.000,300.000,2.0,-1.40870e+00,1.39820e+00,2.54300e-01,-6.26000e-01,2.33400e-01,4.25600e-01,-4.65800e-01,1.65000e-01,-1.99000e-02,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Stainless_Steel_310,polylog,4.000,300.000,2.0,-8.19070e-01,-2.19670e+00,9.10590e+00,-1.30780e+01,1.08530e+01,-5.12690e+00,1.25830e+00,-1.23950e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Stainless_Steel_316,polylog,4.000,300.000,2.0,-1.40870e+00,1.39820e+00,2.54300e-01,-6.26000e-01,2.33400e-01,4.25600e-01,-4.65800e-01,1.65000e-01,-1.99000e-02,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Stainless_Steel_321,loglog,0.400,1623.000,0.000,5.90900e-02,2.99000e-03,-3.83000e-05,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,4.81282e+01,-3.33984e+01,8.65271e+00,-7.84620e-01,-6.42213e+01,0.00e+00,5.01187e+01
Teflon,polylog,4.000,300.000,5.0,2.73800e+00,-3.06770e+01,8.94300e+01,-1.36990e+02,1.24690e+02,-6.95560e+01,2.33200e+01,-4.31350e+00,3.38290e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Ti6Al4V,polylog,23.000,300.000,2.0,-5.10788e+03,1.92404e+04,-3.07891e+04,2.71348e+04,-1.42264e+04,4.43822e+03,-7.63078e+02,5.57966e+01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Titanium_15333,polylog,1.400,300.000,3.0,-2.39879e+00,8.97074e+00,-2.91929e+01,5.48714e+01,-5.96714e+01,3.88932e+01,-1.49418e+01,3.11162e+00,-2.70453e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Wood_Balsa_11_lbft3,polylog,88.000,300.000,3.0,4.81540e+03,-1.29696e+04,1.45208e+04,-8.65416e+03,2.89571e+03,-5.15727e+02,3.81922e+01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Wood_Balsa_6_lbft3,polylog,88.000,300.000,1.5,4.17245e+03,-1.13100e+04,1.27451e+04,-7.64758e+03,2.57731e+03,-4.62538e+02,3.45351e+01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Wood_Beechwood_flatwise,polylog,92.000,300.000,1.5,1.03533e+03,-2.19185e+03,1.47051e+03,3.98450e+01,-5.41904e+02,2.89844e+02,-6.52253e+01,5.59956e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Wood_Beechwood_grain,polylog,92.000,300.000,1.0,-1.37511e+03,3.74069e+03,-4.23847e+03,2.55933e+03,-8.68607e+02,1.57102e+02,-1.18296e+01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Wood_MapleOak,powerlaw,0.034,1000.000,0.00e+00,0.00930000e+00,2.70000e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
